Name,PFF Draft Spot,NFL Draft Buzz,Dynasty Nerds,0,1,2,3,4,5,6,7,8,9
Garrett Wilson,8,92.1,2,"('Devonta Smith', 94)","('Quez Watkins', 93)","('A.J. Brown', 93)","('Jordan Lasley', 93)","('Carlos Henderson', 93)","('Corey Coleman', 93)","('Tyler Lockett', 93)","('Stedman Bailey', 93)","('Justin Blackmon', 93)","('Terrance Williams', 93)"
Jameson Williams,14,91,7,"('William Fuller', 94)","('Sammie Coates', 94)","('Tylan Wallace', 93)","('Dillon Mitchell', 93)","('D.J. Chark', 93)","('Deebo Samuel', 93)","('Amari Cooper', 93)","('Rueben Randle', 93)","('Stephen Hill', 93)","('Devin Thomas', 93)"
Drake London,23,93.4,3,"('Elijah Moore', 93)","('Devonta Smith', 93)","('Leonte Carroo', 93)","('Tyler Lockett', 93)","('Mike Williams', 93)","('Chatarius Atwell', 92)","('Isaiah Hodgins', 92)","('Brandon Aiyuk', 92)","('JJ Arcega-Whiteside', 92)","('Andy Isabella', 92)"
Chris Olave,24,90.2,5,"('Devonta Smith', 94)","('Elijah Moore', 93)","('Andy Isabella', 93)","('Taywan Taylor', 93)","('Tyler Lockett', 93)","('Dyami Brown', 92)","('Chatarius Atwell', 92)","('Jaelon Darden', 92)","('Michael Pittman Jr.', 92)","('Corey Coleman', 92)"
Treylon Burks,31,89.4,1,"('Demaryius Thomas', 95)","('Devonta Smith', 94)","('Leonte Carroo', 94)","('Tyler Lockett', 94)","('Golden Tate', 94)","('Robert Meachem', 94)","('Rashaun Woods', 94)","('Elijah Moore', 93)","('Brandon Aiyuk', 93)","('A.J. Brown', 93)"
John Metchie,49,88.9,11,"('Marquise Brown', 93)","('Louis Murphy', 92)","('Darius Slayton', 91)","('Kelvin Harmon', 91)","('Ardarius Stewart', 91)","('Josh Reed', 91)","('Jordan Lasley', 90)","('Deebo Samuel', 90)","('Chad Hansen', 90)","('Calvin Ridley', 90)"
Skyy Moore,54,86.4,,"('Demaryius Thomas', 94)","('Dante Ridgeway', 94)","('Corey Davis', 93)","('Rashard Higgins', 93)","('Keenan Allen', 93)","('Stephen Hill', 93)","('Dez Bryant', 93)","('Damian Williams', 93)","('Hakeem Nicks', 93)","('Elijah Moore', 92)"
George Pickens,70,83.9,6,"('JuJu Smith-Schuster', 92)","('Stefon Diggs', 92)","('Marcus Monk', 92)","('Tyler Boyd', 91)","('Marquess Wilson', 91)","('Kenny Britt', 91)","('Arrelious Benn', 91)","('Dwayne Jarrett', 91)","('Rondale Moore', 90)","('Rashod Bateman', 90)"
David Bell,71,82.9,4,"('Corey Davis', 95)","('Tyler Boyd', 95)","('Sammy Watkins', 95)","(""N'Keal Harry"", 94)","('Tajae Sharpe', 94)","('Rashard Higgins', 94)","('Amari Cooper', 94)","('Deandre Hopkins', 94)","('Keenan Allen', 94)","('Robert Woods', 94)"
Jalen Tolbert,77,83.5,12,"('Jordy Nelson', 96)","('Rishard Matthews', 95)","('Demaryius Thomas', 95)","('Mike Hass', 95)","('Roddy White', 95)","('Antonio Gandy-Golden', 94)","('Brandon Aiyuk', 94)","('Michael Thomas', 94)","('Jordan Matthews', 94)","('Marvin McNutt', 94)"
