"Maybe: Aggregate data into smaller set of features, then use similarity?",,,"Rookier Year Valuation Metrics: fantasy points,  ???",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DROP,,,LOOK,,,,,,,,,,,,,,,,,,Breakout Ages,,,,Total Counting Stats,,,,,,,,,,,,YTMpA,,,Dominator,,,YTMpA,,,,YTMpA Above Conference pos AVG (>30 tchs),,,,YTMpA Above Team Avg,,,,YTMpA Above Age AVG (Top 24 players,,,,Per Game Dominator,,,,Dominator,,,,DOa (Dom Over Average),,,,MS Yards,,,,Player Above/Below AVG Team YTMpA,,,,Pahowdy Score,,,,,,,Games Played,,,,,,PPR PPG,,,,,,RECs,,,,,,REC Yards,,,,,,REC TDs,,,,,,MS RECs,,,,,,MS REC Yards,,,,,,MS REC Yards (for AVG if played more then 8 games),,,,,,MS Yards above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference REC Yds MS >6 games,,,,,,Player Above/Below AVG Team REC Yds MS,,,,,,MS REC TDs,,,,,,Per Game Dominator (Combined REC Yards Touchdown MS),,,,,,Dominator (Combined REC Yards Touchdown MS),,,,,,DOa above/below Average by age (top 24 players),,,,,,Yards Dominator (Rec's used instead of dominator),,,,,,YTMA  Yards Per Team  Attempt,,,,,,YTMA  Yards Per Team  Attempt For Scores >6 games,,,,,,Player Above/Below AVG Conference YTMA,,,,,,YTMpA (Rec Yards Per Team Pass Attempt),,,,,,YTMpA (Rec Yards Per Team Pass Attempt) >6 games,,,,,,Player YTMpA  above/below Average by age (top 24 players),,,,,,Player Above/Below AVG Conference YTMpA >6 games,,,,,,Player Above/Below AVG Team YTMpA,,,,,,Combine,,,,,,,,,,,,NFL Career Marks since 2000,,,,,,,,
Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference,Team (Conference Adjusted),Age,Conference,Team,Age,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,18,19,20,21,22,23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3
Xavier Worthy,xavier-worthy-1,,Texas,Big 12,UNK,UNK,WR,2024,UNK,0,21,4/27/2003,12.90%,4.60%,37.50%,7.6,94%,NA,0%,1,18,18,UNK,1,1,12,19.6,63,998,15.8,5.3,NA,39.10%,39.10%,2.9,36.90%,1.89,1.89,1.22,16.00%,14.40%,18.60%,2.89,2.9,2.9,2.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.2,1.2,1.2,1.2,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,20.60%,20.60%,20.60%,6.90%,36.90%,36.90%,36.90%,<2 Yrs of Data,1815.30%,1815.30%,1815.30%,<2 Yrs of Data,4.84,10.70%,-,3.40%,0.6,-,-,12,,,,,,19.63,,,,,,63,,,,,,998,,,,,,12,,,,,,29.03%,,,,,,36.89%,,,,,,36.89%,,,,,,18.60%,,,,,,16.00%,,,,,,14.40%,,,,,,41.38%,,,,,,39.14%,,,,,,39.10%,,,,,,20.60%,,,,,,33.00%,,,,,,1.3,,,,,,1.3,,,,,,0.5,,,,,,2.9,,,,,,2.9,,,,,,1.2,-,-,-,-,-,1.89,,,,,,1.83,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Mario Williams,mario-williams-2,,Oklahoma,Big 12,UNK,UNK,WR,2024,UNK,0,21,1/23/2003,12.90%,4.60%,2.60%,4.9,63%,NA,0%,-,-,-,-,-,1,11,9,35,380,10.9,3.2,NA,11.80%,13.90%,1.1,11.10%,0.11,0.11,-0.55,-9.80%,-8.10%,-7.30%,1.12,1.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.6,-0.6,-0.6,-0.6,13.90%,13.90%,13.90%,13.90%,11.80%,11.80%,11.80%,11.80%,-6.80%,-6.80%,-6.80%,-2.30%,11.10%,11.10%,11.10%,<2 Yrs of Data,1972.40%,1972.40%,1972.40%,<2 Yrs of Data,-5.81,-15.10%,-,-1.10%,-1.1,-,-,11,,,,,,8.97,,,,,,35,,,,,,380,,,,,,4,,,,,,12.50%,,,,,,11.08%,,,,,,11.08%,,,,,,-7.30%,,,,,,-9.80%,,,,,,-8.10%,,,,,,12.50%,,,,,,13.93%,,,,,,11.80%,,,,,,-6.80%,,,,,,11.80%,,,,,,0.6,,,,,,0.6,,,,,,-0.2,,,,,,1.1,,,,,,1.1,,,,,,-0.6,-,-,-,-,-,0.11,,,,,,0.05,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Beaux Collins,beaux-collins-1,,Clemson,ACC (Atlantic),UNK,UNK,WR,2024,UNK,0,21,12/16/2002,6.80%,12.90%,17.90%,4.6,60%,NA,0%,1,18,-,-,-,1,10,9,31,407,13.1,3.1,NA,20.70%,26.90%,1.3,16.40%,0.26,0.26,-0.39,-5.90%,-5.30%,-2.00%,1.28,1.3,1.3,1.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,-0.4,-0.4,-0.4,-0.4,26.90%,26.90%,26.90%,26.90%,20.70%,20.70%,20.70%,20.70%,2.10%,2.10%,2.10%,0.70%,16.40%,16.40%,16.40%,<2 Yrs of Data,1282.10%,1282.10%,1282.10%,<2 Yrs of Data,-4.45,-11.40%,-,0.40%,-0.6,-,-,10,,,,,,8.97,,,,,,31,,,,,,407,,,,,,3,,,,,,13.60%,,,,,,16.38%,,,,,,16.38%,,,,,,-2.00%,,,,,,-5.90%,,,,,,-5.30%,,,,,,25.00%,,,,,,26.90%,,,,,,20.70%,,,,,,2.10%,,,,,,15.00%,,,,,,0.6,,,,,,0.6,,,,,,-0.2,,,,,,1.3,,,,,,1.3,,,,,,-0.4,-,-,-,-,-,0.26,,,,,,0.18,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Emeka Egbuka,emeka-egbuka-1,,Ohio State,Big Ten (East),UNK,UNK,WR,2024,UNK,0,21,10/12/2002,8.20%,9.30%,2.60%,4.5,57%,NA,0%,-,-,-,-,-,1,8,3.5,9,191,21.2,1.1,NA,1.90%,3.10%,0.6,3.90%,-0.58,-0.58,-1.04,-20.20%,-23.30%,-14.50%,0.63,0.6,0.6,0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1,-1,-1,3.10%,3.10%,3.10%,3.10%,1.90%,1.90%,1.90%,1.90%,-16.60%,-16.60%,-16.60%,-5.50%,3.90%,3.90%,3.90%,<2 Yrs of Data,2163.20%,2163.20%,2163.20%,<2 Yrs of Data,-13.51,-25.30%,-,-2.80%,-1.7,-,-,8,,,,,,3.51,,,,,,9,,,,,,191,,,,,,0,,,,,,2.58%,,,,,,3.86%,,,,,,3.86%,,,,,,-14.50%,,,,,,-20.20%,,,,,,-23.30%,,,,,,0.00%,,,,,,3.13%,,,,,,1.90%,,,,,,-16.60%,,,,,,3.20%,,,,,,0.3,,,,,,0.3,,,,,,-0.7,,,,,,0.6,,,,,,0.6,,,,,,-1,-,-,-,-,-,-0.58,,,,,,-0.62,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Troy Franklin,troy-franklin-2,,Oregon,Pac-12 (North),UNK,UNK,WR,2024,UNK,0,21,2/6/2003,5.40%,6.40%,2.60%,4.2,52%,NA,0%,-,-,-,-,-,1,10,5.1,18,209,11.6,1.8,NA,8.10%,11.40%,0.7,6.70%,-0.47,-0.47,-0.95,-13.10%,-9.80%,-11.60%,0.72,0.7,0.7,0.7,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-1,-1,-1,-1,11.40%,11.40%,11.40%,11.40%,8.10%,8.10%,8.10%,8.10%,-10.40%,-10.40%,-10.40%,-3.50%,6.70%,6.70%,6.70%,<2 Yrs of Data,1604.70%,1604.70%,1604.70%,<2 Yrs of Data,-7.16,-17.50%,-,-1.70%,-1.2,-,-,10,,,,,,5.09,,,,,,18,,,,,,209,,,,,,2,,,,,,6.92%,,,,,,6.73%,,,,,,6.73%,,,,,,-11.60%,,,,,,-13.10%,,,,,,-9.80%,,,,,,9.52%,,,,,,11.38%,,,,,,8.10%,,,,,,-10.40%,,,,,,6.80%,,,,,,0.3,,,,,,0.3,,,,,,-0.4,,,,,,0.7,,,,,,0.7,,,,,,-1,-,-,-,-,-,-0.47,,,,,,-0.42,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Jojo Earle,jojo-earle-1,,Alabama,SEC (West),UNK,UNK,WR,2024,UNK,0,21,4/5/2003,17.70%,15.20%,2.60%,3.8,46%,NA,0%,-,-,-,-,-,1,10,2.7,12,148,12.3,1.2,NA,1.60%,2.20%,0.4,3.10%,-0.77,-0.77,-1.27,-19.10%,-25.20%,-15.20%,0.4,0.4,0.4,0.4,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-1.3,-1.3,-1.3,-1.3,2.20%,2.20%,2.20%,2.20%,1.60%,1.60%,1.60%,1.60%,-17.00%,-17.00%,-17.00%,-5.70%,3.10%,3.10%,3.10%,<2 Yrs of Data,2009.00%,2009.00%,2009.00%,<2 Yrs of Data,-17.15,-25.00%,-,-2.80%,-2.1,-,-,10,,,,,,2.68,,,,,,12,,,,,,148,,,,,,0,,,,,,3.47%,,,,,,3.15%,,,,,,3.15%,,,,,,-15.20%,,,,,,-19.10%,,,,,,-25.20%,,,,,,0.00%,,,,,,2.20%,,,,,,1.60%,,,,,,-17.00%,,,,,,3.30%,,,,,,0.2,,,,,,0.2,,,,,,-0.6,,,,,,0.4,,,,,,0.4,,,,,,-1.3,-,-,-,-,-,-0.77,,,,,,-0.85,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Deion Smith,deion-smith-1,0,Colorado,Pac-12 (South),UNK,UNK,RB,2024,UNK,0,21,4/13/2003,6.80%,11.10%,2.60%,1.7,14%,NA,0%,-,-,-,-,-,1,10,3.8,5,21,4.2,0.5,NA,0.70%,0.80%,0.1,1.30%,-1,-1,-1.58,-18.40%,-20.20%,-2.30%,0.09,0.1,0.1,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1.6,-1.6,-1.6,-1.6,0.80%,0.80%,0.80%,0.80%,0.70%,0.70%,0.70%,0.70%,-2.10%,-2.10%,-2.10%,-0.70%,1.30%,1.30%,1.30%,<2 Yrs of Data,1054.40%,1054.40%,1054.40%,<2 Yrs of Data,-14.55,-18.10%,-,-0.30%,-,-,-,10,,,,,,3.83,,,,,,5,,,,,,21,,,,,,0,,,,,,3.25%,,,,,,1.33%,,,,,,1.33%,,,,,,-2.30%,,,,,,-18.40%,,,,,,-20.20%,,,,,,0.00%,,,,,,0.80%,,,,,,0.70%,,,,,,-2.10%,,,,,,2.30%,,,,,,0.4,,,,,,0.4,,,,,,-0.5,,,,,,0.1,,,,,,0.1,,,,,,-1.6,-,-,-,-,-,-1,,,,,,-0.98,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Kyron Ware-Hudson,kyron-ware-hudson-1,,Southern California,Pac-12 (South),UNK,UNK,WR,2024,UNK,0,22,5/16/2002,6.80%,11.10%,2.60%,0,1%,NA,0%,0,-,-,-,-,0,1,2.4,2,4,2,2,NA,0.10%,0.70%,0,0.10%,-,-,-,-,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,0.70%,0.70%,0.70%,0.70%,0.10%,0.10%,0.10%,0.10%,-,-,-,0.00%,0.10%,0.10%,0.10%,<2 Yrs of Data,2230.00%,2230.00%,2230.00%,<2 Yrs of Data,-15.98,-25.90%,-,0.00%,-2.3,-,-,,1,,,,,,2.4,,,,,,2,,,,,,4,,,,,,0,,,,,,0.63%,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,0.67%,,,,,,0.10%,,,,,,,,,,,,0.40%,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Ja'Corey Brooks,jacorey-brooks-1,,Alabama,SEC (West),UNK,UNK,WR,2024,UNK,0,21,10/31/2002,17.70%,15.20%,2.60%,0,1%,NA,0%,0,-,-,-,-,1,6,5.9,9,145,16.1,1.5,NA,3.70%,8.60%,0,3.10%,-,-,-,-,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,8.60%,8.60%,8.60%,8.60%,3.70%,3.70%,3.70%,3.70%,-,-,-,0.00%,3.10%,3.10%,3.10%,<2 Yrs of Data,2009.00%,2009.00%,2009.00%,<2 Yrs of Data,-13.91,-25.00%,-,0.00%,-2.5,-,-,6,,,,,,5.92,,,,,,9,,,,,,145,,,,,,2,,,,,,2.60%,,,,,,3.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26%,,,,,,8.56%,,,,,,3.70%,,,,,,,,,,,,2.80%,,,,,,0.3,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
Deion Colzie,deion-colzie-1,,Notre Dame,ACC (Atlantic),UNK,UNK,WR,2024,UNK,0,21,7/28/2003,6.80%,12.90%,2.60%,0,1%,NA,0%,0,-,-,-,-,0,4,2.7,4,67,16.8,1,NA,0.90%,3.00%,0,1.80%,-,-,-,-,-,-,-,0,0,-,-,0,0,-,-,0,0,-,-,0,0,-,3.00%,3.00%,3.00%,3.00%,0.90%,0.90%,0.90%,0.90%,-,-,-,0.00%,1.80%,1.80%,1.80%,<2 Yrs of Data,1900.90%,1900.90%,1900.90%,<2 Yrs of Data,-10.74,-26.00%,-,0.00%,-1.9,-,-,4,,,,,,2.68,,,,,,4,,,,,,67,,,,,,0,,,,,,1.38%,,,,,,1.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,2.97%,,,,,,0.90%,,,,,,,,,,,,1.60%,,,,,,0.2,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0,0,0,0,0,0,0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-
