,Name,cfb_id,pfr_id,School,Conference,DR,DP,NFL POS,Draft Year,Designation in last Year,Landing Team,Age IN DRAFT YEAR (9/1/dy),DOB,Conference Drafted Rate,Conference Hit Rate,Age Adjusted Hit Rate AVG,Pre-Draft,Pre-Draft Percentile,Post-Draft,Post-Draft Percentile,Cr.Year BO,>20%,>30%,Decimal BOA (30%),Cr.Year BO.1,Years Played,G,AVG PPG,rec,YARDS,YPR,REC/g,FINAL MS YARDS RK,College Dominator Rating,Per Game College Dominator Rating,YPTpA Dominator,Yards Dominator,Conference.1,Team (Conference Adjusted),Age,Conference.2,Team,Age.1,First RecYds/TmPatt,Best RecYds/TmPatt,Last RecYds/TmPatt,AVG RecYds/TmPatt,First RecYds/TmPatt Above Conference AVg,Best RecYds/TmPatt Above Conference Avg,Last  RecYds/TmPatt Above Conference Avg,AVG  RecYds/TmPatt Above Conference Avg,First RecYds/TmPatt Above TM Avg,Best RecYds/TmPatt Above TM Avg,Last  RecYds/TmPatt Above TM Avg,AVG  RecYds/TmPatt Above TM Avg,First RecYds/TmPatt Above AGE Avg,Best RecYds/TmPatt Above AGE Avg,Last  RecYds/TmPatt Above AGE Avg,AVG  RecYds/TmPatt Above AGE Avg,First Dominator,Best Dominator,Last Dominator,AVG Dominator (Min 2 Seasons),First Dominator.1,Best Dominator.1,Last Dominator.1,AVG Dominator (Min 2 Seasons).1,First Doa,Last Doa,Best Doa,Doa (AVG),First MS rec Yards,last ms rec yards,Best MS rec Yards,AVG MS REC Yds,First MS rec Yards.1,last ms rec yards.1,Best MS rec Yards.1,AVG MS REC Yds.1,PPG Above conference expectation (Best Year),S/EX (MS Yards Over Expectation using a 5 year conference AVG of top producer),TeamMate Score (TeamMate Over Expected),Production Score,Efficency Score (YTMpA Over conference AVG WR1s),Calvin Johnson Index,Combine Score,18,19,20,21,22,23,18.1,19.1,20.1,21.1,22.1,23.1,18.2,19.2,20.2,21.2,22.2,23.2,18.3,19.3,20.3,21.3,22.3,23.3,18.4,19.4,20.4,21.4,22.4,23.4,18.5,19.5,20.5,21.5,22.5,23.5,18.6,19.6,20.6,21.6,22.6,23.6,18.7,19.7,20.7,21.7,22.7,23.7,18.8,19.8,20.8,21.8,22.8,23.8,18.9,19.9,20.9,21.9,22.9,23.9,18.10,19.10,20.10,21.10,22.10,23.10,18.11,19.11,20.11,21.11,22.11,23.11,18.12,19.12,20.12,21.12,22.12,23.12,18.13,19.13,20.13,21.13,22.13,23.13,18.14,19.14,20.14,21.14,22.14,23.14,18.15,19.15,20.15,21.15,22.15,23.15,18.16,19.16,20.16,21.16,22.16,23.16,18.17,19.17,20.17,21.17,22.17,23.17,18.18,19.18,20.18,21.18,22.18,23.18,18.19,19.19,20.19,21.19,22.19,23.19,18.20,19.20,20.20,21.20,22.20,23.20,18.21,19.21,20.21,21.21,22.21,23.21,18.22,19.22,20.22,21.22,22.22,23.22,18.23,19.23,20.23,21.23,22.23,23.23,BMI,weight,height,bench,40,3Cone,shuttle,vert,broadInches,Burst Score,HaSS,WaSS,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,Year 1 TGT%,Year 1 EP,Year 1 reFPOE,Year 1 PPG,AVG EP Season 1-3,AVG PPG (PPR) Season 1-3,Year 1 Yards,Year 1 Yards/G
0,Xavier Worthy,xavier-worthy-1,,Texas,Big 12,UNK,UNK,WR,2024,UNK,0,21,4/27/2003,12.90%,4.60%,37.50%,7.6,94%,,0%,1,18,18,UNK,1,1,12,19.6,63,998,15.8,5.3,,39.10%,39.10%,2.9,36.90%,1.89,1.89,1.22,16.00%,14.40%,18.60%,2.89,2.9,2.9,2.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8,1.8,1.2,1.2,1.2,1.2,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,39.10%,20.60%,20.60%,20.60%,6.90%,36.90%,36.90%,36.90%,<2 Yrs of Data,1815.30%,1815.30%,1815.30%,<2 Yrs of Data,4.84,10.70%,-,3.40%,0.6,-,-,12.0,,,,,,19.63,,,,,,63.0,,,,,,998.0,,,,,,12.0,,,,,,29.03%,,,,,,36.89%,,,,,,36.89%,,,,,,18.60%,,,,,,16.00%,,,,,,14.40%,,,,,,41.38%,,,,,,39.14%,,,,,,39.10%,,,,,,20.60%,,,,,,33.00%,,,,,,1.3,,,,,,1.3,,,,,,0.5,,,,,,2.9,,,,,,2.9,,,,,,1.2,-,-,-,-,-,1.89,,,,,,1.83,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
1,Mario Williams,mario-williams-2,,Oklahoma,Big 12,UNK,UNK,WR,2024,UNK,0,21,1/23/2003,12.90%,4.60%,2.60%,4.9,63%,,0%,-,-,-,-,-,1,11,9,35,380,10.9,3.2,,11.80%,13.90%,1.1,11.10%,0.11,0.11,-0.55,-9.80%,-8.10%,-7.30%,1.12,1.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.6,-0.6,-0.6,-0.6,13.90%,13.90%,13.90%,13.90%,11.80%,11.80%,11.80%,11.80%,-6.80%,-6.80%,-6.80%,-2.30%,11.10%,11.10%,11.10%,<2 Yrs of Data,1972.40%,1972.40%,1972.40%,<2 Yrs of Data,-5.81,-15.10%,-,-1.10%,-1.1,-,-,11.0,,,,,,8.97,,,,,,35.0,,,,,,380.0,,,,,,4.0,,,,,,12.50%,,,,,,11.08%,,,,,,11.08%,,,,,,-7.30%,,,,,,-9.80%,,,,,,-8.10%,,,,,,12.50%,,,,,,13.93%,,,,,,11.80%,,,,,,-6.80%,,,,,,11.80%,,,,,,0.6,,,,,,0.6,,,,,,-0.2,,,,,,1.1,,,,,,1.1,,,,,,-0.6,-,-,-,-,-,0.11,,,,,,0.05,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
2,Beaux Collins,beaux-collins-1,,Clemson,ACC (Atlantic),UNK,UNK,WR,2024,UNK,0,21,12/16/2002,6.80%,12.90%,17.90%,4.6,60%,,0%,1,18,-,-,-,1,10,9,31,407,13.1,3.1,,20.70%,26.90%,1.3,16.40%,0.26,0.26,-0.39,-5.90%,-5.30%,-2.00%,1.28,1.3,1.3,1.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,-0.4,-0.4,-0.4,-0.4,26.90%,26.90%,26.90%,26.90%,20.70%,20.70%,20.70%,20.70%,2.10%,2.10%,2.10%,0.70%,16.40%,16.40%,16.40%,<2 Yrs of Data,1282.10%,1282.10%,1282.10%,<2 Yrs of Data,-4.45,-11.40%,-,0.40%,-0.6,-,-,10.0,,,,,,8.97,,,,,,31.0,,,,,,407.0,,,,,,3.0,,,,,,13.60%,,,,,,16.38%,,,,,,16.38%,,,,,,-2.00%,,,,,,-5.90%,,,,,,-5.30%,,,,,,25.00%,,,,,,26.90%,,,,,,20.70%,,,,,,2.10%,,,,,,15.00%,,,,,,0.6,,,,,,0.6,,,,,,-0.2,,,,,,1.3,,,,,,1.3,,,,,,-0.4,-,-,-,-,-,0.26,,,,,,0.18,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
3,Emeka Egbuka,emeka-egbuka-1,,Ohio State,Big Ten (East),UNK,UNK,WR,2024,UNK,0,21,10/12/2002,8.20%,9.30%,2.60%,4.5,57%,,0%,-,-,-,-,-,1,8,3.5,9,191,21.2,1.1,,1.90%,3.10%,0.6,3.90%,-0.58,-0.58,-1.04,-20.20%,-23.30%,-14.50%,0.63,0.6,0.6,0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-1,-1.0,-1.0,-1,3.10%,3.10%,3.10%,3.10%,1.90%,1.90%,1.90%,1.90%,-16.60%,-16.60%,-16.60%,-5.50%,3.90%,3.90%,3.90%,<2 Yrs of Data,2163.20%,2163.20%,2163.20%,<2 Yrs of Data,-13.51,-25.30%,-,-2.80%,-1.7,-,-,8.0,,,,,,3.51,,,,,,9.0,,,,,,191.0,,,,,,0.0,,,,,,2.58%,,,,,,3.86%,,,,,,3.86%,,,,,,-14.50%,,,,,,-20.20%,,,,,,-23.30%,,,,,,0.00%,,,,,,3.13%,,,,,,1.90%,,,,,,-16.60%,,,,,,3.20%,,,,,,0.3,,,,,,0.3,,,,,,-0.7,,,,,,0.6,,,,,,0.6,,,,,,-1,-,-,-,-,-,-0.58,,,,,,-0.62,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
4,Troy Franklin,troy-franklin-2,,Oregon,Pac-12 (North),UNK,UNK,WR,2024,UNK,0,21,2/6/2003,5.40%,6.40%,2.60%,4.2,52%,,0%,-,-,-,-,-,1,10,5.1,18,209,11.6,1.8,,8.10%,11.40%,0.7,6.70%,-0.47,-0.47,-0.95,-13.10%,-9.80%,-11.60%,0.72,0.7,0.7,0.7,-0.5,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.4,-1,-1.0,-1.0,-1,11.40%,11.40%,11.40%,11.40%,8.10%,8.10%,8.10%,8.10%,-10.40%,-10.40%,-10.40%,-3.50%,6.70%,6.70%,6.70%,<2 Yrs of Data,1604.70%,1604.70%,1604.70%,<2 Yrs of Data,-7.16,-17.50%,-,-1.70%,-1.2,-,-,10.0,,,,,,5.09,,,,,,18.0,,,,,,209.0,,,,,,2.0,,,,,,6.92%,,,,,,6.73%,,,,,,6.73%,,,,,,-11.60%,,,,,,-13.10%,,,,,,-9.80%,,,,,,9.52%,,,,,,11.38%,,,,,,8.10%,,,,,,-10.40%,,,,,,6.80%,,,,,,0.3,,,,,,0.3,,,,,,-0.4,,,,,,0.7,,,,,,0.7,,,,,,-1,-,-,-,-,-,-0.47,,,,,,-0.42,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
5,Jojo Earle,jojo-earle-1,,Alabama,SEC (West),UNK,UNK,WR,2024,UNK,0,21,4/5/2003,17.70%,15.20%,2.60%,3.8,46%,,0%,-,-,-,-,-,1,10,2.7,12,148,12.3,1.2,,1.60%,2.20%,0.4,3.10%,-0.77,-0.77,-1.27,-19.10%,-25.20%,-15.20%,0.4,0.4,0.4,0.4,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-1.3,-1.3,-1.3,-1.3,2.20%,2.20%,2.20%,2.20%,1.60%,1.60%,1.60%,1.60%,-17.00%,-17.00%,-17.00%,-5.70%,3.10%,3.10%,3.10%,<2 Yrs of Data,2009.00%,2009.00%,2009.00%,<2 Yrs of Data,-17.15,-25.00%,-,-2.80%,-2.1,-,-,10.0,,,,,,2.68,,,,,,12.0,,,,,,148.0,,,,,,0.0,,,,,,3.47%,,,,,,3.15%,,,,,,3.15%,,,,,,-15.20%,,,,,,-19.10%,,,,,,-25.20%,,,,,,0.00%,,,,,,2.20%,,,,,,1.60%,,,,,,-17.00%,,,,,,3.30%,,,,,,0.2,,,,,,0.2,,,,,,-0.6,,,,,,0.4,,,,,,0.4,,,,,,-1.3,-,-,-,-,-,-0.77,,,,,,-0.85,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
6,Deion Smith,deion-smith-1,0,Colorado,Pac-12 (South),UNK,UNK,RB,2024,UNK,0,21,4/13/2003,6.80%,11.10%,2.60%,1.7,14%,,0%,-,-,-,-,-,1,10,3.8,5,21,4.2,0.5,,0.70%,0.80%,0.1,1.30%,-1,-1,-1.58,-18.40%,-20.20%,-2.30%,0.09,0.1,0.1,0.1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1.6,-1.6,-1.6,-1.6,0.80%,0.80%,0.80%,0.80%,0.70%,0.70%,0.70%,0.70%,-2.10%,-2.10%,-2.10%,-0.70%,1.30%,1.30%,1.30%,<2 Yrs of Data,1054.40%,1054.40%,1054.40%,<2 Yrs of Data,-14.55,-18.10%,-,-0.30%,-,-,-,10.0,,,,,,3.83,,,,,,5.0,,,,,,21.0,,,,,,0.0,,,,,,3.25%,,,,,,1.33%,,,,,,1.33%,,,,,,-2.30%,,,,,,-18.40%,,,,,,-20.20%,,,,,,0.00%,,,,,,0.80%,,,,,,0.70%,,,,,,-2.10%,,,,,,2.30%,,,,,,0.4,,,,,,0.4,,,,,,-0.5,,,,,,0.1,,,,,,0.1,,,,,,-1.6,-,-,-,-,-,-1.0,,,,,,-0.98,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
7,Kyron Ware-Hudson,kyron-ware-hudson-1,,Southern California,Pac-12 (South),UNK,UNK,WR,2024,UNK,0,22,5/16/2002,6.80%,11.10%,2.60%,0.0,1%,,0%,0,-,-,-,-,0,1,2.4,2,4,2.0,2.0,,0.10%,0.70%,0.0,0.10%,-,-,-,-,-,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,0.70%,0.70%,0.70%,0.70%,0.10%,0.10%,0.10%,0.10%,-,-,-,0.00%,0.10%,0.10%,0.10%,<2 Yrs of Data,2230.00%,2230.00%,2230.00%,<2 Yrs of Data,-15.98,-25.90%,-,0.00%,-2.3,-,-,,1.0,,,,,,2.4,,,,,,2.0,,,,,,4.0,,,,,,0.0,,,,,,0.63%,,,,,,0.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,0.67%,,,,,,0.10%,,,,,,,,,,,,0.40%,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
8,Ja'Corey Brooks,jacorey-brooks-1,,Alabama,SEC (West),UNK,UNK,WR,2024,UNK,0,21,10/31/2002,17.70%,15.20%,2.60%,0.0,1%,,0%,0,-,-,-,-,1,6,5.9,9,145,16.1,1.5,,3.70%,8.60%,0.0,3.10%,-,-,-,-,-,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,8.60%,8.60%,8.60%,8.60%,3.70%,3.70%,3.70%,3.70%,-,-,-,0.00%,3.10%,3.10%,3.10%,<2 Yrs of Data,2009.00%,2009.00%,2009.00%,<2 Yrs of Data,-13.91,-25.00%,-,0.00%,-2.5,-,-,6.0,,,,,,5.92,,,,,,9.0,,,,,,145.0,,,,,,2.0,,,,,,2.60%,,,,,,3.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26%,,,,,,8.56%,,,,,,3.70%,,,,,,,,,,,,2.80%,,,,,,0.3,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
9,Deion Colzie,deion-colzie-1,,Notre Dame,ACC (Atlantic),UNK,UNK,WR,2024,UNK,0,21,7/28/2003,6.80%,12.90%,2.60%,0.0,1%,,0%,0,-,-,-,-,0,4,2.7,4,67,16.8,1.0,,0.90%,3.00%,0.0,1.80%,-,-,-,-,-,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,-,0.0,0.0,-,3.00%,3.00%,3.00%,3.00%,0.90%,0.90%,0.90%,0.90%,-,-,-,0.00%,1.80%,1.80%,1.80%,<2 Yrs of Data,1900.90%,1900.90%,1900.90%,<2 Yrs of Data,-10.74,-26.00%,-,0.00%,-1.9,-,-,4.0,,,,,,2.68,,,,,,4.0,,,,,,67.0,,,,,,0.0,,,,,,1.38%,,,,,,1.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,2.97%,,,,,,0.90%,,,,,,,,,,,,1.60%,,,,,,0.2,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,,,,UNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-,UNK,UNK,-,-,-,-,-,-,-,-,-,,
